Canonical_SMILES	Source
o1c2c(c(=O)c3c1[C]=C(C(=[C]3)O)O)C(=[C]C(=[C]2)O)O	PDBQT/dock_0095.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2c1[C]=[C]C(=C2O)O[C])O)O[C]	PDBQT/dock_0096.pdbqt
o1c2c(c(=O)c3c1C(=[C][C]=[C]3)O)C(=[C]C(=[C]2)O[C])O	PDBQT/dock_0097.pdbqt
O1C([C]=[C]C2=C(c3c(oc4=C([C]=[C][C]=c4c3=O)O)[C]=C12)O)([C])[C]	PDBQT/dock_0098.pdbqt
o1c2c(c(=O)c3c1[C]=[C][C]=[C]3)[C]=C(C(=[C]2)O[C])O[C]	PDBQT/dock_0099.pdbqt
o1c2=[C][C]=C([C]=c2c(=O)c2=[C]C(=[C][C]=c12)N(=O)=O)N(=O)=O	PDBQT/dock_0100.pdbqt
o1c2c(c(=O)c3=[C][C]=C([C]=c13)O[C][C]N([C])[C])[C]=[C]C(=[C]2)O[C][C]N([C])[C]	PDBQT/dock_0101.pdbqt
o1c2c(c(=O)c3c1[C]=[C]C(=[C]3)C(=O)O)[C]=[C]C(=[C]2)O[C]([C])[C]	PDBQT/dock_0102.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C(C(=C([C]=c12)O)O[C])[C][C]=C([C])[C])O)[C][C](O)C(=[C])[C])O	PDBQT/dock_0103.pdbqt
O1[C]([C]([C]([C]([C]1OC1=[C]c2c(oc3c(c2=O)C(=[C]C(=[C]3)O[C])O)[C]=[C]1)O)O)O)[C]O[C]1O[C][C]([C]([C]1O)O)O	PDBQT/dock_0104.pdbqt
o1c2C3=C([C@]([C]C3=O)(O)C(=O)O[C])C(=[C]c2c(=O)c2c1c(c1OC([C]=[C]c1c2O)([C])[C])/[C]=[C]/C([C])([C])OO)C(=[C])[C]	PDBQT/dock_0105.pdbqt
